mass,rt,
490.80084,1.0067905,
688.71167,1.0067905,
449.84482,1.0195342,
201.02484,1.0321426,
255.87956,1.0448051,
194.90521,1.0571905,
287.91061,1.0571905,
413.82202,1.0571905,
344.03964,1.0695572,
348.90216,1.0695572,
154.94684,1.1329739,
155.9464,1.1329739,
195.90517,1.1329739,
210.93091,1.1329739,
268.90079,1.1329739,
364.88806,1.1329739,
371.86719,1.1329739,
448.84488,1.1329739,
187.09686,1.1457405,
192.91069,1.1457405,
208.93394,1.1457405,
286.91132,1.1457405,
292.89096,1.1457405,
293.89023,1.1457405,
311.90079,1.1457405,
412.82321,1.1457405,
446.84665,1.1457405,
509.81076,1.1457405,
629.74451,1.1457405,
211.9304,1.1579947,
220.04596,1.1579947,
232.92392,1.1579947,
233.92346,1.1579947,
310.90137,1.1579947,
370.86755,1.1579947,
430.83398,1.1579947,
431.83356,1.1579947,
551.76746,1.1579947,
172.9572,1.1703239,
173.9568,1.1703239,
388.96811,1.1703239,
186.9729,1.2464322,
280.98227,1.4352967,
388.96786,1.4352967,
386.9437,1.6363384,
168.98875,1.6490655,
169.99208,1.6490655,
212.97855,1.6490655,
213.98178,1.6490655,
464.92014,1.6490655,
274.97906,1.6613718,
542.89789,1.6613718,
963.92841,1.9371134,
217.00232,1.9621718,
184.77759,2.5421926,
1128.49829,2.718051,
892.0802,2.8689238,
220.04597,2.919353,
280.06693,3.0076197,
345.94977,3.2596592,
220.04594,3.2722592,
306.95874,3.2722592,
375.97198,3.2848905,
308.97745,3.2848905,
345.4502,3.2848905,
394.97433,3.2848905,
461.94965,3.2848905,
497.01736,3.2848905,
497.9306,3.2848905,
218.97849,3.2974842,
219.4801,3.2974842,
305.96097,3.2974842,
329.50543,3.2974842,
330.979,3.2974842,
331.98224,3.2974842,
374.96851,3.2974842,
438.96436,3.2974842,
439.96774,3.2974842,
440.97003,3.2974842,
460.94656,3.2974842,
267.97009,3.3101946,
306.46106,3.3101946,
416.48825,3.3101946,
431.9324,3.3101946,
398.94489,3.4872154,
399.9483,3.4872154,
476.92154,3.4872154,
572.90887,3.4998092,
650.88715,3.4998092,
232.9239,3.5251717,
845.9679,3.6894967,
220.04593,3.7147738,
280.06708,3.7906217,
277.14688,4.0560675,
528.93213,4.0939676,
218.90247,4.1065634,
219.98885,4.1065634,
263.97867,4.1065634,
362.95432,4.1065634,
436.94012,4.1065634,
438.93539,4.1065634,
452.95166,4.1065634,
610.13159,4.1065634,
196.98367,4.1192446,
197.98708,4.1192446,
218.98547,4.1192446,
262.97519,4.1192446,
324.97549,4.1192446,
360.95889,4.1192446,
361.0188,4.1192446,
440.93118,4.1192446,
441.9321,4.1192446,
442.92697,4.1192446,
443.9285,4.1192446,
450.95578,4.1192446,
484.02893,4.1192446,
516.91333,4.1192446,
518.90845,4.1192446,
520.90344,4.1192446,
241.00986,4.1318843,
242.01332,4.1318843,
323.01248,4.1318843,
338.99338,4.1318843,
340.98871,4.1442404,
229.14378,4.1569029,
230.9854,4.1695321,
717.29736,4.1695321,
415.91891,4.3586509,
414.91559,4.371278,
416.91269,4.371278,
417.91614,4.371278,
