mz,RT,KMD,HS Number
1250.23621,10.604546,0.316069188,18
500.28586,8.5109447,0.317815899,18
1200.23938,10.384355,0.316045626,18
950.27606,8.7725966,0.336759149,21
1050.27087,9.697757,0.337956346,21
1000.27228,9.2709737,0.336172672,21
600.9129,10.184809,-0.04871652,36
600.91156,5.9258176,-0.050056606,36
700.90607,10.604546,-0.049159429,36
650.90955,10.384355,-0.04887297,36
600.91406,6.5924925,-0.047556446,36
550.92041,9.2709737,-0.044399805,41
400.93045,7.5483862,-0.043940455,41
350.93439,6.5924925,-0.043193968,41
300.93796,4.9901091,-0.042817504,41
450.92676,8.2387716,-0.044436927,41
500.92331,8.7970716,-0.044693383,41
600.91699,9.697757,-0.044626259,41
200.95389,8.5988924,-0.033274014,49
200.95384,10.604546,-0.033324017,49
800.91461,10.652509,-0.034231355,49
700.92102,10.15143,-0.034208474,49
900.90808,11.044986,-0.034374244,49
200.95378,9.4847798,-0.033384021,49
351.93787,6.5803404,-0.03964987,108
451.9314,8.2269507,-0.039732755,108
501.92819,8.7970716,-0.039749196,108
551.92499,9.2824153,-0.039755637,108
301.94086,4.9901091,-0.039853443,108
401.93445,7.5483862,-0.039876325,108
701.92432,10.15143,-0.030844388,114
901.90979,11.033374,-0.03260026,114
801.91833,10.652509,-0.030447242,114
552.94421,7.385982,-0.020470534,160
452.95166,4.1065634,-0.019407586,160
502.94846,6.2029383,-0.019414026,160
503.34052,12.618807,0.372671017,194
253.35547,9.8356945,0.371653152,194
503.34055,10.04674,0.372701018,194
503.34061,12.524671,0.372761022,194
1003.30896,8.9079029,0.373046641,194
503.34036,10.894844,0.372511006,194
456.95715,7.6110862,-0.013661734,336
556.95013,8.9571361,-0.014294655,336
306.96735,6.1271633,-0.013042375,336
456.97141,8.9571361,0.000599177,340
506.96811,4.8514883,0.00049273,340
556.96454,9.8831799,0.000116266,340
606.96136,6.7815279,0.000129827,340
356.97797,7.6110862,0.000772068,340
406.99036,9.5205799,0.016356623,345
257.00122,7.598807,0.017636025,345
356.99429,9.0052591,0.01709311,345
557.96735,9.8831799,0.002990321,406
457.9747,8.9571361,0.003953262,406
357.98148,7.6110862,0.004346167,406
408.97656,6.1399029,0.002683492,461
458.97089,7.5107987,0.000206894,461
508.96967,8.1159258,0.00218058,461
659.09161,6.2029383,0.133709661,469
409.10867,6.0894426,0.134801931,469
709.08832,7.3982654,0.133613215,469
409.10843,6.5427654,0.134561915,469
759.08514,8.1526466,0.133626776,469
409.10806,6.7059029,0.134191892,469
409.10791,6.1651466,0.134041882,469
660.09357,6.215655,0.135733661,526
710.09003,7.3982654,0.135387199,526
760.08685,8.1526466,0.13540076,526
560.3067,9.6856924,0.342489747,539
560.30658,8.2514612,0.34236974,539
1060.27319,9.8716591,0.340915247,539
960.27905,8.9687195,0.340388093,539
560.30688,8.5988924,0.342669759,539
760.9278,8.3746549,-0.023595524,559
660.93402,7.3982654,-0.023762655,559
460.94656,3.2974842,-0.02399691,559
860.9209,9.1149342,-0.024108437,559
610.93652,6.7815279,-0.024456259,559
510.94284,4.8514883,-0.024523383,559
560.93909,5.9881404,-0.025079859,559
910.91595,9.4256882,-0.025864989,559
460.95224,7.3982654,-0.018316547,569
410.95511,6.215655,-0.018640127,569
560.94507,8.7725966,-0.019099477,569
360.95889,4.1192446,-0.01805365,569
610.94183,9.258732,-0.01914592,569
510.94824,8.1772196,-0.019123038,569
661.09033,6.215655,0.13255733,578
761.08447,8.1526466,0.133084483,578
711.08771,7.3982654,0.133130926,578
461.94965,3.2848905,-0.020842837,616
511.94623,4.8514883,-0.021069291,616
411.95148,6.1399029,-0.022206484,616
611.94031,6.7815279,-0.020602141,616
512.94415,8.1649862,-0.023085549,659
462.94775,7.3982654,-0.022679083,659
362.95432,4.1065634,-0.022496191,659
562.94104,8.7725966,-0.023001984,659
412.9509,6.2029383,-0.022722646,659
712.94556,10.732261,-0.008900403,664
562.9552,9.7094507,-0.008841079,664
662.94891,10.431213,-0.008743953,664
612.9519,10.092719,-0.008947526,664
312.97183,8.5612487,-0.008178837,664
812.9386,11.195159,-0.009473319,664
462.96204,8.7725966,-0.00838817,664
512.95837,9.2709737,-0.008864641,664
262.97519,4.1192446,-0.008012386,664
312.97205,8.4359008,-0.007958823,664
212.97855,1.6490655,-0.007845936,664
312.9722,6.2029383,-0.007808813,664
162.9818,8.5612487,-0.007789492,664
412.96524,8.1649862,-0.00838173,664
162.98181,8.9201341,-0.007779491,664
362.96863,7.3982654,-0.008185277,664
313.17987,8.9687195,0.199874452,694
213.18536,8.6735966,0.198977275,694
213.18529,10.243794,0.19890727,694
213.18526,8.2642279,0.198877268,694
213.18523,10.058569,0.198847266,694
213.18526,9.8599216,0.198877268,694
363.17554,9.7094507,0.198737939,694
413.9686,8.1772196,-0.00495764,753
363.97205,7.3982654,-0.004701183,753
263.97867,4.1065634,-0.004468289,753
463.965,8.7605966,-0.005364106,753
513.96167,9.2709737,-0.005500555,753
613.95532,10.092719,-0.005463432,753
663.95239,10.431213,-0.005199855,753
313.97537,6.215655,-0.004574735,753
563.9588,9.7094507,-0.005176974,753
213.98178,1.6490655,-0.004551854,753
764.89948,10.83693,-0.051661832,810
